Temperature,Humidity,WindSpeed,Pressure,CloudCover,Visibility,DewPoint,UVIndex,WindDirection,Precipitation,FeelsLike,Rainfall
21,66,4,990,68,7,17,7,333,0.04,39,No
38,67,21,1020,63,6,24,5,322,0.21,23,No
32,42,11,995,98,5,16,9,110,0.94,21,No
29,86,29,1004,31,3,10,3,242,0.44,28,Yes
31,55,24,1013,79,8,17,0,255,0.03,29,Yes
37,98,20,1029,25,1,16,2,75,0.39,32,Yes
28,65,3,995,68,7,22,5,256,0.63,39,Yes
35,46,12,1015,64,1,19,0,292,0.54,34,Yes
38,90,26,1007,46,6,16,2,223,0.33,24,Yes
32,77,16,1008,62,9,14,3,292,0.86,30,Yes
39,46,9,1008,35,7,24,8,190,0.95,28,No
25,47,12,1006,12,1,12,4,54,0.5,28,No
39,67,20,1015,37,9,22,1,83,0.87,39,Yes
31,74,29,1015,71,8,10,7,299,0.31,33,Yes
34,90,6,1003,22,6,20,4,174,0.9,20,No
21,77,17,1027,96,3,10,0,118,0.88,33,Yes
20,95,18,1022,86,6,14,3,211,0.2,33,Yes
38,55,11,1012,6,2,22,9,308,0.62,32,Yes
27,93,9,1027,52,2,17,2,234,0.77,30,Yes
28,68,25,1004,76,2,13,2,164,0.12,23,Yes
34,44,2,1020,94,4,21,2,224,0.18,34,No
24,81,23,1001,78,7,16,8,178,0.11,34,Yes
20,60,25,1010,62,1,12,1,14,0.73,28,No
21,70,3,1000,76,6,22,6,37,0.46,30,No
24,68,27,1016,78,1,14,8,356,0.49,38,No
21,71,15,1016,74,5,16,7,265,0.95,39,Yes
36,67,25,1022,39,6,16,5,151,0.19,35,Yes
20,87,20,1011,65,9,20,3,243,0.48,30,Yes
22,58,12,1026,65,8,15,9,202,0.2,35,Yes
22,49,0,994,83,2,17,2,28,0.12,26,Yes
22,64,26,997,32,4,13,9,7,0.29,23,No
23,94,21,991,87,2,18,5,158,0.2,28,Yes
20,44,2,1019,91,1,14,2,247,0.61,35,Yes
32,92,12,1012,55,7,16,4,55,0.91,37,Yes
23,77,2,991,73,9,11,7,236,0.26,36,Yes
32,71,27,1002,32,3,24,7,215,0.05,34,Yes
39,56,22,1024,41,6,24,7,229,0.88,33,Yes
37,43,22,1002,56,8,14,6,237,0.25,31,Yes
25,75,20,1022,81,3,14,3,175,0.21,21,Yes
26,52,19,990,58,4,14,6,203,0.9,27,Yes
35,41,11,992,88,8,13,9,99,0.36,26,Yes
21,99,7,1004,88,3,23,6,238,0.52,24,No
34,47,4,1002,69,8,11,3,120,0.04,38,Yes
36,81,14,994,65,5,18,3,40,0.16,25,Yes
22,85,12,990,48,7,10,7,207,0.25,21,Yes
32,95,24,1007,92,4,13,0,23,0.51,25,Yes
26,42,24,1001,21,3,22,9,66,0.55,35,No
38,56,16,1017,98,6,22,4,152,0.6,20,Yes
31,99,27,1023,28,7,18,8,134,0.8,21,Yes
28,46,13,1028,98,9,24,0,58,0.58,24,Yes
32,60,17,1017,77,8,19,6,231,0.24,33,Yes
26,75,11,1027,89,8,22,1,279,0.93,31,No
30,61,10,1014,15,6,12,4,325,0.68,33,Yes
27,94,17,999,29,4,15,8,41,0.99,23,No
24,94,8,1028,43,9,24,1,327,0.65,27,No
27,53,23,1011,79,2,17,9,216,0.54,23,Yes
21,41,26,1014,98,2,13,6,124,0.93,25,Yes
28,97,13,995,16,4,13,0,35,0.13,22,Yes
27,44,2,1016,48,4,11,0,219,0.19,29,No
21,66,0,1006,49,4,22,7,204,0.44,38,No
26,45,23,1015,10,5,13,3,227,0.76,31,No
39,84,4,1023,2,2,24,7,63,0.93,34,Yes
38,63,23,1003,58,9,18,4,269,0.06,22,Yes
33,79,17,1000,28,3,18,4,170,0.88,27,Yes
39,75,10,998,75,4,17,1,29,0.21,33,Yes
39,42,6,990,21,2,13,6,35,0.07,29,No
33,85,21,1013,14,3,20,6,114,0.92,33,Yes
33,58,20,1012,27,5,20,6,350,0.22,39,No
39,83,26,1002,93,7,13,1,243,0.07,27,No
37,59,22,1005,81,2,24,1,339,0.45,28,Yes
30,76,14,1025,73,2,16,0,162,0.9,35,No
28,70,28,1024,2,2,15,3,266,0.45,35,Yes
29,67,26,998,58,2,24,8,165,0.5,39,Yes
35,56,28,1004,11,4,10,7,294,0.01,25,No
38,53,19,1010,31,9,22,0,345,0.22,36,No
30,44,9,1001,34,7,15,6,98,0.21,29,Yes
26,44,14,1020,32,7,11,3,346,0.45,30,Yes
23,61,18,1009,38,4,22,9,0,0.75,36,Yes
32,95,24,1027,17,8,13,5,25,0.21,32,No
26,69,22,1017,71,8,18,2,277,0.34,31,Yes
30,94,19,1008,48,9,19,7,106,0.86,30,Yes
32,63,20,1026,34,4,17,7,102,0.66,24,Yes
39,66,17,994,90,8,23,4,100,0.08,31,Yes
38,67,4,1019,42,9,14,0,127,0.04,20,Yes
31,58,26,1018,81,3,17,4,346,0.03,32,No
26,79,7,1002,26,6,22,3,96,0.37,32,Yes
28,52,19,1019,8,5,20,0,3,0.02,26,No
20,50,13,1008,25,8,14,1,115,0.54,22,Yes
24,86,26,995,64,1,21,2,184,0.25,30,Yes
27,76,9,1009,51,1,11,9,337,0.34,35,Yes
23,97,19,1015,57,2,16,8,197,0.95,21,Yes
22,59,7,1011,71,6,12,4,45,0.98,26,No
26,85,18,990,18,9,15,7,214,0.68,26,Yes
26,48,19,1007,16,9,22,1,26,0.95,27,Yes
23,96,8,1010,87,1,12,3,112,0.17,24,Yes
21,91,20,1029,50,9,12,1,7,0.89,39,Yes
32,67,23,1014,44,4,12,3,341,0.0,22,Yes
36,93,5,1004,26,8,19,8,174,0.25,32,Yes
28,98,8,1018,30,7,18,7,128,0.62,39,Yes
32,51,3,990,66,5,12,2,141,0.07,25,Yes
39,97,17,1021,90,5,14,6,76,0.24,28,Yes
30,81,22,1022,34,4,12,7,199,0.97,35,Yes
28,63,18,1018,70,7,17,8,41,0.47,22,Yes
39,81,9,995,15,3,23,3,34,0.42,30,Yes
20,74,22,993,66,5,11,3,21,0.03,24,No
20,90,15,992,91,6,21,2,1,0.84,27,Yes
28,60,23,991,22,3,21,7,11,0.03,20,No
30,42,27,1005,64,2,15,3,82,0.2,23,Yes
25,83,11,1003,75,1,11,3,158,0.86,23,No
22,75,7,991,76,2,20,7,101,0.07,28,Yes
21,71,24,1025,50,4,22,3,120,0.12,38,Yes
35,97,15,1011,15,7,18,9,181,0.42,30,Yes
37,50,15,1029,93,5,11,2,117,0.31,38,No
32,77,3,1008,78,8,22,6,234,0.34,36,No
23,68,1,1011,97,9,21,5,274,0.7,26,Yes
20,74,2,996,56,1,11,2,298,0.55,30,No
22,78,20,1002,7,8,24,8,84,0.74,33,Yes
23,41,4,990,41,8,22,8,3,0.83,31,Yes
30,56,13,1027,74,3,13,8,295,0.52,20,No
33,47,8,1025,12,6,13,2,24,0.19,32,No
23,86,1,1003,88,7,15,8,78,0.2,24,No
30,52,2,1016,9,6,19,3,319,0.27,25,Yes
25,86,23,1024,13,5,22,3,241,0.61,38,Yes
39,91,20,1028,11,2,19,2,90,0.44,26,No
26,44,25,1016,61,7,10,5,61,0.63,37,Yes
29,76,0,997,16,2,16,9,56,0.86,30,Yes
23,56,29,1015,70,9,22,8,89,0.43,37,Yes
39,65,26,1017,56,2,20,8,220,0.24,24,No
23,46,25,1005,34,7,10,9,167,0.77,32,Yes
28,79,9,991,73,6,22,0,262,0.23,35,Yes
23,45,28,1022,75,2,24,9,260,0.12,35,Yes
20,46,29,1025,0,8,15,6,77,0.24,31,No
20,46,18,1028,80,3,14,4,78,0.57,24,No
33,60,20,998,17,3,14,8,64,0.37,22,No
22,68,24,1025,45,8,17,5,101,0.14,20,Yes
22,77,12,1003,38,8,10,3,92,0.93,30,Yes
23,68,28,999,87,1,10,5,223,0.25,28,Yes
34,89,15,1010,19,4,23,3,134,0.05,30,Yes
25,96,19,1012,14,8,15,6,63,0.45,22,No
33,68,19,1012,37,5,18,2,35,0.84,33,Yes
29,50,24,1006,20,7,22,3,65,0.47,34,Yes
21,50,15,1011,97,7,20,5,6,0.28,30,No
20,47,15,1029,24,1,12,8,14,0.98,26,No
20,46,14,1008,18,4,12,0,92,0.51,26,Yes
37,51,27,1018,20,1,16,9,117,0.73,25,Yes
32,77,17,1011,20,5,16,8,158,0.2,22,No
37,87,25,998,90,3,18,8,38,0.68,24,Yes
23,64,1,1023,0,4,15,0,19,0.94,35,Yes
20,95,21,1003,98,9,13,0,200,0.65,29,Yes
24,63,19,1006,15,8,14,2,227,0.22,28,Yes
28,77,9,1027,32,3,10,7,136,0.02,29,Yes
36,87,13,1026,73,6,11,5,278,0.67,21,No
35,80,14,994,44,9,21,7,279,0.34,30,Yes
32,48,4,1003,46,3,11,9,161,0.63,28,No
22,62,28,996,3,1,22,8,46,0.03,31,Yes
34,75,13,1004,6,5,10,5,47,0.64,24,Yes
25,93,19,1021,46,8,11,4,241,0.19,28,Yes
20,67,2,1006,26,9,22,6,66,0.38,37,No
34,74,29,997,52,6,17,3,339,0.05,26,Yes
21,69,1,1020,43,8,23,7,38,0.44,38,No
30,88,1,1015,40,4,23,8,301,0.93,31,Yes
25,45,18,1027,93,7,15,0,133,0.16,32,No
21,65,4,1006,62,4,21,3,250,0.13,34,Yes
34,62,9,990,64,4,14,9,54,0.8,30,Yes
23,85,18,994,8,1,20,1,198,0.3,22,Yes
21,47,24,1005,12,2,13,9,266,0.57,38,No
26,56,16,1022,84,1,21,4,207,0.26,36,Yes
27,57,22,1016,68,2,11,1,11,0.51,32,No
37,96,26,1026,19,3,17,5,44,0.68,27,Yes
29,97,15,1005,57,2,17,7,311,0.37,32,No
27,70,4,1002,62,9,12,3,17,0.06,30,Yes
33,65,10,1008,12,6,22,2,142,0.94,21,No
32,89,28,1002,66,4,16,9,212,0.07,39,Yes
34,96,19,994,24,8,11,0,46,0.34,31,No
35,77,15,1008,91,8,14,7,180,0.39,30,No
24,57,2,994,44,2,23,3,216,0.06,31,Yes
33,94,0,995,95,7,13,8,246,0.28,35,Yes
30,58,2,996,1,4,24,5,351,0.13,24,Yes
35,41,0,1000,19,1,14,9,192,0.83,35,Yes
31,82,25,998,81,5,10,9,40,0.67,26,Yes
23,92,8,1003,30,9,18,3,106,0.5,32,Yes
36,59,22,1018,77,8,20,5,279,0.99,23,Yes
21,56,3,1018,80,3,15,1,31,0.25,32,Yes
27,86,18,1011,17,2,18,1,221,0.15,31,No
25,85,21,1006,43,6,14,0,56,0.64,35,No
20,61,1,1016,35,3,20,4,183,0.5,32,No
33,87,25,1015,57,8,17,9,310,0.1,23,Yes
25,70,5,1022,27,6,20,5,315,0.53,20,No
38,86,2,995,17,6,11,1,144,0.18,33,Yes
29,49,2,996,65,5,19,4,79,0.48,26,Yes
25,41,28,1011,87,9,19,9,238,0.34,23,Yes
37,46,7,1023,24,9,21,4,285,0.16,36,Yes
32,53,6,1025,66,2,15,7,97,0.88,34,No
29,77,12,1006,12,6,23,4,156,0.26,27,Yes
31,98,10,1024,82,7,24,5,309,0.44,21,Yes
21,56,22,1003,21,2,16,4,93,0.87,33,No
37,49,3,1015,19,3,19,1,152,0.55,25,Yes
23,97,3,1018,15,2,15,9,213,0.75,28,Yes
39,64,13,1026,94,1,22,0,357,0.71,21,Yes
